<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/19,10:45:00,14520,14550,14505,14550,47670
2014/5/19,10:50:00,14550,14550,14505,14535,42320
2014/5/19,10:55:00,14530,14550,14410,14430,47906
2014/5/19,11:00:00,14435,14490,14400,14485,23636
2014/5/19,11:05:00,14490,14550,14465,14515,30552
2014/5/19,11:10:00,14515,14520,14470,14490,13430
2014/5/19,11:15:00,14490,14515,14485,14505,8424
2014/5/19,11:20:00,14515,14525,14495,14505,8718
2014/5/19,11:25:00,14500,14515,14475,14485,6584
2014/5/19,11:30:00,14485,14550,14485,14550,16398
2014/5/19,13:35:00,14550,14550,14505,14515,17500
2014/5/19,13:40:00,14520,14550,14515,14535,9532
2014/5/19,13:45:00,14535,14540,14525,14530,3200
2014/5/19,13:50:00,14530,14550,14530,14540,15482
2014/5/19,13:55:00,14545,14550,14540,14550,11040
2014/5/19,14:00:00,14550,14550,14495,14505,20690
2014/5/19,14:05:00,14505,14525,14495,14515,9504
2014/5/19,14:10:00,14520,14520,14490,14510,9798
2014/5/19,14:15:00,14510,14520,14500,14515,5226
2014/5/19,14:20:00,14515,14520,14500,14515,3288
2014/5/19,14:25:00,14520,14530,14505,14530,3862
2014/5/19,14:30:00,14530,14530,14510,14510,2790
2014/5/19,14:35:00,14510,14525,14500,14505,5094
2014/5/19,14:40:00,14510,14510,14465,14465,14596
2014/5/19,14:45:00,14460,14500,14445,14495,19170
